player_name,element_type_2526,now_cost_2425,total_points,minutes,goals_scored,assists,goals_conceded,clean_sheets,ict_index,influence,creativity,threat,bonus,bps,red_cards,yellow_cards,selected_by_percent,now_cost_2526,predicted_now_cost_2526,pct_diff,valuation
Nicolas Jackson,FWD,77,121,2220,10,6,24,11,187.4,546.4,368.3,976.0,17,417,1,7,6.2,65,79.3430915274801,0.2206629465766169,Undervalued (actual below predicted)
Marc Guéhi,DEF,47,116,3059,3,2,42,11,131.0,827.0,237.6,247.0,11,492,1,7,5.7,45,52.035744134031425,0.15634986964514277,Undervalued (actual below predicted)
Rodrigo Martins Gomes,DEF,51,42,794,2,0,20,1,47.6,186.6,180.2,113.0,0,183,0,0,0.1,45,51.993265042660155,0.15540588983689235,Undervalued (actual below predicted)
Bryan Mbeumo,MID,83,236,3415,20,9,55,9,340.8,1236.8,1107.5,1060.0,29,948,0,3,46.7,80,92.02669392964222,0.15033367412052775,Undervalued (actual below predicted)
Eiran Cashin,DEF,45,1,19,0,0,2,0,0.7,7.0,0.6,0.0,0,-2,0,0,0.0,40,45.96374310387185,0.14909357759679623,Undervalued (actual below predicted)
Andrés García,DEF,45,8,316,0,0,5,0,12.0,45.6,68.4,7.0,0,26,0,0,0.1,40,45.776471610511685,0.1444117902627921,Undervalued (actual below predicted)
Diogo Dalot Teixeira,DEF,50,95,2812,0,4,45,8,118.2,493.2,434.2,258.0,9,352,0,5,4.7,45,51.47484985702735,0.14388555237838557,Undervalued (actual below predicted)
Tyrell Malacia,DEF,44,2,99,0,0,1,0,1.7,5.2,13.9,0.0,0,2,0,1,0.0,40,45.26579660624155,0.13164491515603877,Undervalued (actual below predicted)
Mykhailo Mudryk,MID,61,7,145,0,0,2,0,8.5,23.2,31.5,31.0,0,26,0,0,0.2,50,56.030725873567604,0.12061451747135209,Undervalued (actual below predicted)
Álex Moreno Lopera,DEF,42,34,952,0,1,16,3,36.4,200.8,134.5,29.0,1,126,0,2,0.4,40,44.77878826510563,0.11946970662764081,Undervalued (actual below predicted)
Nathaniel Clyne,DEF,43,18,477,0,0,11,1,12.4,66.6,51.8,8.0,0,48,0,1,0.1,40,44.671665294599364,0.1167916323649841,Undervalued (actual below predicted)
Kieran Trippier,DEF,56,72,1299,0,3,18,6,76.1,319.4,406.8,33.0,8,287,0,1,4.4,50,55.80745914424562,0.1161491828849124,Undervalued (actual below predicted)
Chadi Riad Dnanou,DEF,43,1,90,0,0,2,0,2.0,18.2,1.3,0.0,0,3,0,0,0.0,40,44.63808518466469,0.11595212961661723,Undervalued (actual below predicted)
Lewis Miley,MID,50,21,304,1,0,4,0,16.7,87.4,33.5,45.0,1,88,0,0,0.0,45,50.17561197373249,0.11501359941627748,Undervalued (actual below predicted)
Aaron Wan-Bissaka,DEF,45,118,3154,2,6,59,6,152.7,807.4,531.5,188.0,15,496,0,1,6.4,45,49.88354845956053,0.1085232991013451,Undervalued (actual below predicted)
Willy Boly,DEF,42,6,146,0,0,1,0,6.8,51.0,0.4,17.0,0,26,0,1,0.1,40,44.28639524439213,0.1071598811098033,Undervalued (actual below predicted)
Rodrigo Muniz Carvalho,FWD,55,86,943,8,1,17,2,95.4,352.4,95.3,508.0,14,349,0,1,1.4,55,60.81939582561591,0.10580719682938025,Undervalued (actual below predicted)
James Maddison,MID,74,133,1799,9,8,32,6,187.8,683.4,702.3,495.0,15,592,0,6,3.8,70,77.22679071380087,0.10323986734001238,Undervalued (actual below predicted)
Julián Araujo Zúñiga,DEF,43,12,492,0,0,10,0,9.2,56.8,30.6,4.0,0,20,0,2,0.1,40,44.099061579723376,0.1024765394930844,Undervalued (actual below predicted)
Harry Maguire,DEF,49,48,1751,1,0,27,3,74.5,409.4,101.2,233.0,3,217,0,7,0.8,45,49.56861426007717,0.1015247613350482,Undervalued (actual below predicted)
Joško Gvardiol,DEF,65,153,3278,5,0,41,13,185.0,847.0,501.7,497.0,15,623,0,2,38.6,60,65.88604485723641,0.09810074762060689,Undervalued (actual below predicted)
Martin Dúbravka,GK,40,44,900,0,0,12,5,22.0,220.2,0.0,0.0,2,160,0,0,1.3,40,43.81752900147577,0.09543822503689423,Undervalued (actual below predicted)
Virgil van Dijk,DEF,67,143,3330,3,1,38,14,143.7,932.6,206.6,299.0,8,631,0,5,25.6,60,65.49158346171137,0.09152639102852286,Undervalued (actual below predicted)
Ian Maatsen,DEF,45,57,1125,1,2,16,3,74.3,252.0,293.4,197.0,0,204,0,2,1.6,45,48.992208788277395,0.08871575085060877,Undervalued (actual below predicted)
Eddie Nketiah,FWD,59,53,1018,3,2,17,2,82.5,192.2,163.7,475.0,4,186,1,4,0.7,55,59.794237230729586,0.08716794964962883,Undervalued (actual below predicted)
Chris Wood,FWD,72,200,2958,20,3,37,15,205.6,838.4,320.0,900.0,41,744,0,1,30.8,75,81.37849053348955,0.08504654044652739,Undervalued (actual below predicted)
Ayden Heaven,DEF,40,10,169,0,0,1,1,6.6,43.4,12.9,10.0,2,47,0,1,0.1,40,43.37721196977317,0.08443029924432928,Undervalued (actual below predicted)
Kyle Walker,DEF,51,13,966,0,0,21,0,33.5,157.4,147.7,29.0,0,63,0,3,2.5,45,48.68713590799251,0.08193635351094473,Undervalued (actual below predicted)
Ola Aina,DEF,53,128,2996,2,1,39,12,94.1,578.2,282.3,80.0,15,483,0,5,13.0,50,54.07708541514769,0.08154170830295385,Undervalued (actual below predicted)
Ross Barkley,MID,52,44,567,3,1,10,1,54.8,215.4,128.1,206.0,5,166,0,3,0.2,50,54.00464148824675,0.08009282976493495,Undervalued (actual below predicted)
Leon Bailey,MID,62,47,1132,1,2,19,2,70.3,146.4,235.8,325.0,2,174,0,3,0.8,55,59.381270666799765,0.07965946666908663,Undervalued (actual below predicted)
Lucas Digne,DEF,44,89,2348,0,5,36,6,120.7,512.6,583.9,112.0,7,383,0,4,5.6,45,48.48722613902363,0.07749391420052518,Undervalued (actual below predicted)
Kaelan Casey,DEF,40,1,1,0,0,0,0,0.2,2.0,0.0,0.0,0,3,0,0,0.2,40,42.995438476134396,0.0748859619033599,Undervalued (actual below predicted)
Ryan Christie,MID,48,76,2114,2,3,28,8,139.6,514.0,576.8,303.0,5,435,0,9,0.1,50,53.74298023366751,0.07485960467335019,Undervalued (actual below predicted)
Jayden Meghoma,DEF,40,1,4,0,0,0,0,0.1,0.2,0.3,0.0,0,3,0,0,0.0,40,42.99060706228547,0.07476517655713674,Undervalued (actual below predicted)
Caleb Kporha,DEF,40,2,11,0,0,1,0,1.3,8.0,4.6,0.0,0,1,0,0,0.0,40,42.96320152472387,0.07408003811809678,Undervalued (actual below predicted)
Carlos Baleba,MID,50,87,2660,3,1,40,8,105.2,515.4,343.7,193.0,7,490,1,6,0.2,50,53.69585671870996,0.07391713437419924,Undervalued (actual below predicted)
Luke Shaw,DEF,49,5,346,0,0,5,0,12.7,48.2,68.2,11.0,0,38,0,1,0.2,45,48.30938250526883,0.07354183345041841,Undervalued (actual below predicted)
Keane Lewis-Potter,DEF,50,94,3092,1,5,49,8,139.9,542.0,462.2,391.0,0,460,0,7,0.1,50,53.66594797841757,0.0733189595683514,Undervalued (actual below predicted)
Sandro Tonali,MID,55,106,2625,4,2,34,11,133.5,539.4,496.3,299.0,10,536,0,5,0.9,55,59.01647592240592,0.07302683495283485,Undervalued (actual below predicted)
Brandon Austin,GK,40,1,90,0,0,2,0,2.0,20.0,0.0,0.0,0,7,0,0,0.4,40,42.83802353511336,0.07095058837783394,Undervalued (actual below predicted)
Josh Acheampong,DEF,40,4,168,0,0,3,0,2.9,13.6,2.5,13.0,0,8,0,1,0.1,40,42.7889313212351,0.06972328303087742,Undervalued (actual below predicted)
Tyler Fredricson,DEF,40,2,166,0,0,5,0,4.4,37.4,4.9,2.0,0,16,0,0,0.0,40,42.784657451033695,0.06961643627584238,Undervalued (actual below predicted)
Mitoma Kaoru,MID,63,145,2597,10,5,40,6,210.7,670.6,578.0,856.0,12,536,0,1,6.3,65,69.49524151042111,0.0691575616987863,Undervalued (actual below predicted)
Yoane Wissa,FWD,69,185,2921,18,6,45,9,242.4,849.4,400.0,1181.0,32,739,0,5,24.2,75,80.11955739860443,0.0682607653147257,Undervalued (actual below predicted)
James Hill,DEF,39,17,443,0,1,9,1,16.6,97.0,38.4,29.0,0,55,0,1,0.5,40,42.71911291271468,0.06797782281786695,Undervalued (actual below predicted)
Ezri Konsa Ngoyo,DEF,45,103,2936,2,0,45,8,82.4,532.8,123.9,166.0,10,448,0,1,9.5,45,48.04617817357783,0.06769284830172953,Undervalued (actual below predicted)
Yasin Ayari,MID,50,74,1958,2,1,28,7,111.7,363.2,507.5,247.0,3,358,0,4,0.1,50,53.352146791843516,0.06704293583687032,Undervalued (actual below predicted)
Destiny Udogie,DEF,48,43,1923,0,1,35,2,74.5,354.8,256.5,132.0,0,233,0,2,1.5,45,48.00691699104436,0.06682037757876363,Undervalued (actual below predicted)
Marcus Tavernier,MID,54,87,1932,3,7,29,4,155.4,447.0,664.8,442.0,4,362,0,6,0.2,55,58.67250153356727,0.06677275515576855,Undervalued (actual below predicted)
Son Heung-min,MID,97,129,2106,7,10,35,4,207.2,629.6,734.9,707.0,12,543,0,1,4.1,85,90.4980926794612,0.06468344328777877,Undervalued (actual below predicted)
Benjamin White,DEF,62,50,1195,0,2,13,5,51.0,247.6,162.6,100.0,0,211,0,2,4.4,55,58.555879928412,0.06465236233476358,Undervalued (actual below predicted)
Jan Paul van Hecke,DEF,45,87,2960,1,1,47,7,118.3,736.6,261.8,182.0,7,406,1,6,0.7,45,47.84780217965959,0.06328449288132418,Undervalued (actual below predicted)
Justin Devenny,MID,45,34,494,1,1,8,0,33.2,138.8,101.8,90.0,1,129,0,1,0.1,45,47.8096398468409,0.06243644104090894,Undervalued (actual below predicted)
Daniel Bentley,GK,39,9,180,0,0,4,1,6.0,60.0,0.0,0.0,1,29,0,0,1.7,40,42.462938896589186,0.06157347241472966,Undervalued (actual below predicted)
Dominik Szoboszlai,MID,61,143,2485,6,10,29,12,198.1,589.8,794.8,601.0,14,605,0,6,2.7,65,68.98767285298295,0.06134881312281467,Undervalued (actual below predicted)
Curtis Jones,MID,53,87,1702,3,5,27,6,113.6,397.2,343.7,400.0,4,396,1,1,0.2,55,58.36676699812087,0.061213945420379515,Undervalued (actual below predicted)
Jadon Sancho,MID,62,86,1754,3,5,24,7,127.5,340.0,523.2,414.0,3,367,0,2,0.9,60,63.65703319149563,0.06095055319159381,Undervalued (actual below predicted)
Harrison Reed,MID,47,10,100,0,0,3,0,7.1,18.6,20.6,33.0,0,36,0,2,0.0,45,47.70824738351678,0.060183275189261726,Undervalued (actual below predicted)
Matt Targett,DEF,39,2,20,0,0,0,0,1.0,5.0,5.6,0.0,0,7,0,0,0.3,40,42.3968691845142,0.059921729612855044,Undervalued (actual below predicted)
Pedro Cardoso de Lima,DEF,39,2,69,0,0,2,0,6.9,23.4,34.8,11.0,0,9,0,0,1.2,40,42.393918528956604,0.0598479632239151,Undervalued (actual below predicted)
Kim Ji-soo,DEF,39,3,28,0,0,0,0,0.6,5.0,0.8,0.0,0,8,0,0,0.3,40,42.39169576386416,0.059792394096604085,Undervalued (actual below predicted)
Alfie Pond,DEF,39,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0,0.7,40,42.38068285872395,0.05951707146809877,Undervalued (actual below predicted)
Tom King,GK,39,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0,1.2,40,42.37868042795705,0.05946701069892626,Undervalued (actual below predicted)
Harry Amass,DEF,40,4,345,0,0,9,0,8.2,40.0,26.5,15.0,0,1,0,0,0.1,40,42.33490981348765,0.05837274533719121,Undervalued (actual below predicted)
Jarrod Bowen,FWD,79,193,2974,13,11,50,8,271.9,903.0,737.8,1081.0,21,678,0,1,18.0,80,84.62158195107816,0.05776977438847695,Undervalued (actual below predicted)
Kiernan Dewsbury-Hall,MID,55,18,257,0,1,3,0,12.6,57.4,47.4,21.0,1,71,0,0,0.1,50,52.873954040698145,0.05747908081396289,Undervalued (actual below predicted)
Matty Cash,DEF,44,76,2069,1,1,22,7,71.3,359.2,181.0,171.0,2,286,0,7,1.6,45,47.55355093723486,0.05674557638299689,Undervalued (actual below predicted)
Andy Irving,MID,47,9,161,0,0,4,0,8.1,37.6,26.5,17.0,0,38,0,2,0.0,45,47.513581336918364,0.0558573630426303,Undervalued (actual below predicted)
Chris Richards,DEF,44,68,1921,1,1,31,7,69.6,470.8,45.0,181.0,2,249,1,2,0.2,45,47.5035677988237,0.05563483997386006,Undervalued (actual below predicted)
Lewis Cook,MID,50,82,2976,1,4,44,5,144.9,607.0,727.1,114.0,3,500,1,8,0.1,50,52.66906799952731,0.05338135999054614,Undervalued (actual below predicted)
Niclas Füllkrug,FWD,67,42,783,3,2,18,2,56.8,187.2,173.3,221.0,3,152,0,2,0.9,60,63.14490747402744,0.05241512456712402,Undervalued (actual below predicted)
Mathias Jensen,MID,53,38,846,0,2,17,2,43.8,157.0,249.5,32.0,1,179,0,2,0.1,50,52.588793217104865,0.05177586434209729,Undervalued (actual below predicted)
Harry Wilson,MID,52,78,1148,6,2,21,2,107.8,334.6,310.2,440.0,6,329,0,2,0.2,55,57.78709373093832,0.05067443147160575,Undervalued (actual below predicted)
Marc Guiu Paz,FWD,47,3,71,0,0,2,0,2.2,4.4,11.8,6.0,0,11,0,0,0.5,45,47.272131166699,0.05049180370442217,Undervalued (actual below predicted)
David Brooks,MID,49,52,941,2,1,12,3,80.4,193.6,316.7,300.0,2,204,0,3,0.0,50,52.51558131254158,0.05031162625083155,Undervalued (actual below predicted)
Michael Kayode,DEF,45,27,523,0,1,5,2,24.2,105.2,105.2,30.0,0,115,0,2,0.1,45,47.22984570969931,0.04955212688220693,Appropriately valued
Tosin Adarabioyo,DEF,42,71,1403,1,1,14,7,49.6,352.2,48.2,92.0,7,305,0,4,0.3,45,47.22357089138069,0.04941268647512642,Appropriately valued
Fabian Schär,DEF,55,118,2935,4,2,42,11,119.6,743.2,111.5,346.0,4,440,1,9,5.0,55,57.651200731317765,0.048203649660323,Appropriately valued
Phil Foden,MID,91,105,1771,7,3,24,6,164.2,448.0,749.0,449.0,10,454,0,2,4.6,80,83.747899108525,0.04684873885656256,Appropriately valued
Leandro Trossard,MID,67,152,2546,8,8,27,11,202.1,609.0,617.6,798.0,18,561,1,2,4.5,70,73.21264554639092,0.0458949363770131,Appropriately valued
Matt Doherty,DEF,43,75,2105,2,1,38,6,81.8,502.2,179.9,135.0,4,307,0,6,0.3,45,47.0340298911573,0.045200664247940066,Appropriately valued
Tariq Lamptey,DEF,44,42,856,2,2,21,2,36.8,213.6,101.0,52.0,1,99,0,0,0.2,45,46.95682848974227,0.043485077549828256,Appropriately valued
Patrick Dorgu,DEF,45,18,840,0,0,12,2,39.4,106.4,175.3,112.0,1,108,1,3,0.2,45,46.948688155030474,0.04330418122289943,Appropriately valued
Lamare Bogarde,DEF,39,6,473,0,0,11,0,13.3,84.8,33.3,15.0,0,22,0,2,0.2,40,41.72036316821466,0.04300907920536652,Appropriately valued
Emerson Palmieri dos Santos,DEF,44,76,2108,2,1,41,5,90.4,420.4,310.9,173.0,4,219,0,5,0.6,45,46.86725917332832,0.04149464829618492,Appropriately valued
Tyrone Mings,DEF,44,47,1119,0,1,11,4,34.6,220.4,49.2,74.0,5,207,0,1,0.2,45,46.798909414344514,0.03997576476321143,Appropriately valued
Tyrick Mitchell,DEF,48,123,3090,0,6,46,12,136.2,630.8,559.1,170.0,4,455,0,2,2.1,50,51.95075293722182,0.03901505874443643,Appropriately valued
Micky van de Ven,DEF,45,32,1014,0,2,17,2,30.9,212.0,39.4,57.0,2,139,0,4,2.4,45,46.72324973440381,0.038294438542306845,Appropriately valued
Jean-Philippe Mateta,FWD,75,150,2642,14,2,37,9,187.3,671.6,405.4,800.0,27,576,0,2,8.3,75,77.86582477784134,0.03821099703788453,Appropriately valued
Darwin Núñez Ribeiro,FWD,70,66,1113,5,3,21,2,81.2,263.8,151.6,404.0,6,244,0,8,1.9,65,67.48114437953404,0.038171451992831444,Appropriately valued
Joshua Zirkzee,FWD,65,64,1385,3,2,24,3,78.0,222.6,212.0,351.0,6,216,0,2,1.5,60,62.252373274638074,0.037539554577301244,Appropriately valued
Ollie Watkins,FWD,92,186,2593,16,8,40,10,223.8,766.0,345.2,1148.0,32,631,0,2,29.0,90,93.32967643881355,0.03699640487570611,Appropriately valued
Amadou Onana,MID,48,65,1613,3,0,23,6,77.0,358.0,194.8,215.0,5,324,0,4,2.1,50,51.84551367571838,0.03691027351436759,Appropriately valued
Reiss Nelson,MID,50,27,483,1,1,9,1,55.1,131.6,223.9,195.0,2,143,0,1,0.0,50,51.835088194698834,0.036701763893976676,Appropriately valued
Jurriën Timber,DEF,55,114,2415,1,3,21,11,94.2,393.0,296.8,254.0,9,426,0,7,4.3,55,56.94336472991743,0.03533390418031685,Appropriately valued
Djed Spence,DEF,44,51,1790,1,2,39,3,76.1,433.0,226.6,100.0,6,216,1,2,0.7,45,46.57507562639419,0.03500168058653751,Appropriately valued
