feature,coef,abs_coef
now_cost_2425,7.712944426499554,7.712944426499554
minutes,-2.276266409200365,2.276266409200365
bps,2.2635294292450454,2.2635294292450454
goals_scored,1.7986351346671348,1.7986351346671348
threat,1.3020606592319701,1.3020606592319701
assists,0.766321991454664,0.766321991454664
clean_sheets,0.7211211725454185,0.7211211725454185
ict_index,0.4369194210567066,0.4369194210567066
total_points,0.36638813854356356,0.36638813854356356
influence,-0.1932324909301124,0.1932324909301124
creativity,0.17399279880020158,0.17399279880020158
bonus,-0.17221512329793143,0.17221512329793143
red_cards,0.110693173672103,0.110693173672103
yellow_cards,0.055217658054585575,0.055217658054585575
goals_conceded,-0.04168875186639638,0.04168875186639638
selected_by_percent,-0.029895283729371478,0.029895283729371478
