player_name,element_type_2526,now_cost_2425,total_points,minutes,goals_scored,assists,goals_conceded,clean_sheets,ict_index,influence,creativity,threat,bonus,bps,red_cards,yellow_cards,selected_by_percent,now_cost_2526,predicted_now_cost_2526,pct_diff,valuation
Lewis Hall,DEF,47,102,2188,0,7,31,8,125.3,561.6,561.2,128.0,11,443,0,3,4.4,55,52.24848933320589,-0.05002746666898384,Overvalued (actual above predicted)
Tyrique George,MID,45,17,177,1,1,0,1,17.1,67.4,72.7,32.0,0,55,0,1,0.0,50,47.488904135695066,-0.050221917286098684,Overvalued (actual above predicted)
Erling Haaland,FWD,149,181,2736,22,3,38,10,281.8,946.0,359.4,1511.0,26,795,0,2,24.0,140,132.94109160646812,-0.050420774239513425,Overvalued (actual above predicted)
Emile Smith Rowe,MID,50,114,2036,6,3,28,7,124.4,433.8,422.3,386.0,15,449,0,3,7.3,60,56.96632453705442,-0.050561257715759686,Overvalued (actual above predicted)
Yankuba Minteh,MID,48,102,1831,6,5,33,4,159.1,523.8,448.9,615.0,8,398,0,6,1.0,60,56.962453589331844,-0.05062577351113594,Overvalued (actual above predicted)
Sam Johnstone,GK,41,12,630,0,0,17,0,20.4,193.8,10.0,0.0,0,42,0,0,0.2,45,42.69126938166504,-0.051305124851888054,Overvalued (actual above predicted)
Manuel Akanji,DEF,53,61,2012,0,0,28,6,68.9,339.8,249.8,100.0,1,307,0,3,2.3,55,52.08510846620712,-0.05299802788714332,Overvalued (actual above predicted)
Guglielmo Vicario,GK,48,66,2160,0,0,37,4,58.5,587.8,0.0,0.0,2,293,0,1,1.8,50,47.30308432949215,-0.05393831341015698,Overvalued (actual above predicted)
Tomáš Souček,MID,48,126,2563,9,2,44,7,154.0,672.6,231.8,643.0,15,442,0,8,1.5,60,56.75795203565097,-0.05403413273915045,Overvalued (actual above predicted)
Rico Lewis,DEF,43,66,1888,1,2,27,5,65.0,293.8,218.6,139.0,1,285,1,3,3.5,50,47.298113000632796,-0.05403773998734408,Overvalued (actual above predicted)
Morgan Rogers,MID,58,161,3115,8,11,40,10,214.2,730.6,722.7,689.0,15,534,0,10,25.8,70,66.2133273341803,-0.0540953237974242,Overvalued (actual above predicted)
Maxwel Cornet,MID,47,1,71,0,0,4,0,2.2,11.6,3.5,7.0,0,12,0,1,0.0,50,47.27944528325345,-0.054411094334930965,Overvalued (actual above predicted)
Marshall Munetsi,MID,50,50,1077,2,2,11,5,52.3,176.8,132.9,212.0,4,134,0,0,0.1,55,51.93309032716043,-0.05576199405162857,Overvalued (actual above predicted)
Dango Ouattara,MID,45,111,1998,7,4,23,7,187.2,624.6,496.8,754.0,7,432,0,3,0.9,60,56.62967246688358,-0.05617212555194039,Overvalued (actual above predicted)
Endo Wataru,MID,46,21,259,0,0,5,0,10.0,57.6,38.2,6.0,0,82,0,0,0.1,50,47.15366159797367,-0.05692676804052667,Overvalued (actual above predicted)
